8.77473e+0, 1.00000e-2
9.00549e+0, 1.07842e-2
9.29396e+0, 1.23073e-2
9.59066e+0, 1.66461e-2
9.89560e+0, 2.61838e-2
9.99451e+0, 3.16228e-2
1.01758e+1, 4.97418e-2
1.02500e+1, 5.89511e-2
1.02912e+1, 6.12189e-2
1.03324e+1, 6.72773e-2
1.03654e+1, 7.11966e-2
1.04066e+1, 7.67796e-2
1.05879e+1, 1.03847e-1
1.06374e+1, 1.27808e-1
1.06868e+1, 1.40456e-1
1.07280e+1, 1.54356e-1
1.07775e+1, 1.66461e-1
1.11852e+1, 3.23995e-1
1.12870e+1, 3.60892e-1
1.13333e+1, 4.01990e-1
1.13981e+1, 4.10755e-1
1.14630e+1, 4.10755e-1
1.15093e+1, 4.67508e-1
1.15556e+1, 5.32103e-1
1.16019e+1, 6.60195e-1
